-3.60422400000000E-0001  1.05875762357586E-0007
-3.56044800000000E-0001  1.05876746936274E-0007
-3.51667200000000E-0001  1.05877731524119E-0007
-3.47289600000000E-0001  1.05878716121120E-0007
-3.42912000000000E-0001  1.05879700727277E-0007
-3.38534400000000E-0001  1.05880685342590E-0007
-3.34156800000000E-0001  1.05881669967059E-0007
-3.29779200000000E-0001  1.05882654600685E-0007
-3.25401600000000E-0001  1.05883639243468E-0007
-3.21024000000000E-0001  1.05884623895406E-0007
-3.16646400000000E-0001  1.05885608556502E-0007
-3.12268800000000E-0001  1.05886593226754E-0007
-3.07891200000000E-0001  1.05887577906163E-0007
-3.03513600000000E-0001  1.05888562594729E-0007
-2.99136000000000E-0001  1.05889547292452E-0007
-2.94758400000000E-0001  1.05890531999332E-0007
-2.90380800000000E-0001  1.05891516715370E-0007
-2.86003200000000E-0001  1.05892501440564E-0007
-2.81625600000000E-0001  1.05893486174916E-0007
-2.77248000000000E-0001  1.05894470918425E-0007
-2.72870400000000E-0001  1.05895455671092E-0007
-2.68492800000000E-0001  1.05896440432916E-0007
-2.64115200000000E-0001  1.05897425203898E-0007
-2.59737600000000E-0001  1.05898409984038E-0007
-2.55360000000000E-0001  1.05899394773335E-0007
-2.50982400000000E-0001  1.05900379571791E-0007
-2.46604800000000E-0001  1.05901364379405E-0007
-2.42227200000000E-0001  1.05902349196176E-0007
-2.37849600000000E-0001  1.05903334022106E-0007
-2.33472000000000E-0001  1.05904318857194E-0007
-2.29094400000000E-0001  1.05905303701440E-0007
-2.24716800000000E-0001  1.05906288554845E-0007
-2.20339200000000E-0001  1.05907273417409E-0007
-2.15961600000000E-0001  1.05908258289131E-0007
-2.11584000000000E-0001  1.05909243170011E-0007
-2.07206400000000E-0001  1.05910228060051E-0007
-2.02828800000000E-0001  1.05911212959249E-0007
-1.98451200000000E-0001  1.05912197867606E-0007
-1.94073600000000E-0001  1.05913182785123E-0007
-1.89696000000000E-0001  1.05914167711798E-0007
-1.85318400000000E-0001  1.05915152647633E-0007
-1.80940800000000E-0001  1.05916137592627E-0007
-1.76563200000000E-0001  1.05917122546780E-0007
-1.72185600000000E-0001  1.05918107510093E-0007
-1.67808000000000E-0001  1.05919092482565E-0007
-1.63430400000000E-0001  1.05920077464197E-0007
-1.59052800000000E-0001  1.05921062454989E-0007
-1.54675200000000E-0001  1.05922047454940E-0007
-1.50297600000000E-0001  1.05923032464052E-0007
-1.45920000000000E-0001  1.05924017482323E-0007
-1.41542400000000E-0001  1.05925002509754E-0007
-1.37164800000000E-0001  1.05925987546346E-0007
-1.32787200000000E-0001  1.05926972592098E-0007
-1.28409600000000E-0001  1.05927957647010E-0007
-1.24032000000000E-0001  1.05928942711082E-0007
-1.19654400000000E-0001  1.05929927784315E-0007
-1.15276800000000E-0001  1.05930912866709E-0007
-1.10899200000000E-0001  1.05931897958263E-0007
-1.06521600000000E-0001  1.05932883058978E-0007
-1.02144000000000E-0001  1.05933868168853E-0007
-9.77664000000000E-0002  1.05934853287890E-0007
-9.33888000000000E-0002  1.05935838416088E-0007
-8.90112000000000E-0002  1.05936823553446E-0007
-8.46336000000000E-0002  1.05937808699966E-0007
-8.02560000000000E-0002  1.05938793855647E-0007
-7.58784000000000E-0002  1.05939779020490E-0007
-7.15008000000000E-0002  1.05940764194494E-0007
-6.71232000000000E-0002  1.05941749377659E-0007
